Município,Menor 1 ano,1 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 a 69 anos,70 a 79 anos,80 anos e mais,Idade ignorada,Total
250153 Baraúna,-,-,-,-,-,-,-,-,-,-,1,-,-,1
250157 Barra de Santana,-,-,-,-,1,-,1,-,1,-,-,-,-,3
250170 Barra de São Miguel,-,-,-,-,-,-,-,-,1,-,-,-,-,1
250180 Bayeux,-,-,-,-,8,7,5,2,-,-,-,-,-,22
250190 Belém,-,-,-,-,-,3,-,-,-,-,-,-,-,3
250200 Belém do Brejo do Cruz,-,-,-,-,-,-,2,-,-,-,-,-,-,2
250215 Boa Vista,-,-,-,-,-,-,-,-,1,-,-,-,-,1
250230 Bom Sucesso,-,-,-,-,-,2,-,-,1,-,-,-,-,3
250240 Bonito de Santa Fé,-,-,-,-,1,-,-,1,-,-,-,-,-,2
250250 Boqueirão,-,-,-,-,5,5,2,1,-,-,-,1,-,14
250270 Borborema,-,-,-,-,1,1,-,-,1,-,-,-,-,3
250280 Brejo do Cruz,-,-,-,-,2,3,2,2,-,-,-,-,-,9
250290 Brejo dos Santos,-,-,-,-,-,-,-,1,1,-,-,-,-,2
250300 Caaporã,-,-,-,-,6,9,6,1,1,-,-,-,-,23
250310 Cabaceiras,-,-,-,-,-,1,-,-,-,-,-,-,-,1
250320 Cabedelo,-,-,-,-,2,7,3,1,-,-,-,-,-,13
250330 Cachoeira dos Índios,-,-,-,-,-,-,1,-,-,-,-,-,-,1
250350 Cacimba de Dentro,-,-,-,-,-,3,1,1,2,-,-,-,-,7
250355 Cacimbas,-,-,-,-,-,1,1,-,-,-,-,-,-,2
250370 Cajazeiras,-,-,-,1,7,5,7,1,1,-,-,-,-,22
250380 Caldas Brandão,-,-,-,-,1,1,1,-,-,-,-,-,-,3
250390 Camalaú,-,-,-,-,-,-,-,1,-,-,-,-,-,1
250400 Campina Grande,-,1,-,2,28,84,46,23,22,7,3,-,-,216
250403 Capim,-,-,-,-,1,-,-,-,-,-,-,-,-,1
250420 Catingueira,-,-,-,-,-,-,1,1,-,-,-,-,-,2
250430 Catolé do Rocha,-,-,-,-,1,8,6,2,-,-,-,-,-,17
250435 Caturité,-,-,-,-,1,-,-,-,-,-,-,-,-,1
250440 Conceição,-,-,-,-,-,2,1,1,-,-,-,-,-,4
250450 Condado,-,-,-,-,-,-,1,-,-,1,-,-,-,2
250460 Conde,-,-,-,1,4,4,4,1,3,-,-,-,-,17
250470 Congo,-,-,-,-,-,1,-,-,-,-,-,-,-,1
250480 Coremas,-,-,-,-,-,1,-,2,2,-,-,-,-,5
250490 Cruz do Espírito Santo,-,-,-,-,-,2,-,1,-,-,-,-,-,3
250500 Cubati,-,-,-,-,-,1,-,1,-,-,-,-,-,2
250510 Cuité,-,-,-,-,1,1,1,1,-,-,-,-,-,4
250520 Cuitegi,-,-,-,-,2,-,-,-,-,-,-,-,-,2
250527 Curral de Cima,-,-,-,-,1,1,1,-,-,1,-,-,-,4
250540 Desterro,-,-,-,-,-,1,-,-,-,-,-,-,-,1
250580 Duas Estradas,-,-,-,-,1,-,-,-,-,-,-,-,-,1
250590 Emas,-,-,-,-,-,-,1,-,1,-,-,-,-,2
250600 Esperança,-,-,-,-,3,1,2,1,-,1,-,-,-,8
250610 Fagundes,-,-,-,-,-,1,1,1,-,1,-,-,-,4
250625 Gado Bravo,-,-,-,-,1,1,-,-,-,-,-,-,-,2
250630 Guarabira,-,-,-,-,1,7,7,8,1,-,1,-,-,25
250640 Gurinhém,-,-,-,-,-,-,1,-,-,-,-,-,-,1
250670 Imaculada,-,-,-,1,-,-,2,1,1,-,-,-,-,5
250680 Ingá,-,-,-,-,-,3,1,-,-,-,-,-,-,4
250690 Itabaiana,-,-,1,-,-,-,2,2,1,-,-,-,-,6
250700 Itaporanga,-,-,-,-,-,1,1,-,-,-,-,-,-,2
250710 Itapororoca,-,-,-,-,2,1,-,-,-,-,-,-,-,3
250720 Itatuba,-,-,-,-,-,-,1,1,-,-,-,-,-,2
250730 Jacaraú,-,-,-,-,-,-,1,-,-,1,-,-,-,2
250740 Jericó,-,-,-,-,-,2,-,2,-,-,-,-,-,4
250750 João Pessoa,-,-,1,3,63,147,71,39,15,5,1,3,-,348
250760 Juarez Távora,-,-,-,-,-,-,-,1,-,-,-,-,-,1
250770 Juazeirinho,-,-,-,-,1,-,2,-,-,1,-,-,-,4
250780 Junco do Seridó,-,-,-,-,1,-,-,-,-,-,-,-,-,1
250790 Juripiranga,-,-,-,1,-,1,-,-,2,-,-,-,-,4
250820 Lagoa de Dentro,-,-,-,-,-,-,1,1,-,-,-,-,-,2
250830 Lagoa Seca,-,-,-,-,8,2,-,-,-,-,-,-,-,10
250840 Lastro,-,-,-,-,-,-,1,-,-,-,-,-,-,1
250855 Logradouro,-,-,-,-,1,-,-,-,-,-,-,-,-,1
250860 Lucena,-,-,-,-,3,2,1,-,-,-,-,-,-,6
250880 Malta,-,-,-,-,-,1,1,-,-,-,-,-,-,2
250890 Mamanguape,-,-,-,-,1,4,1,1,-,-,-,-,-,7
250900 Manaíra,-,-,-,-,1,1,1,-,1,1,-,-,-,5
250905 Marcação,-,-,-,-,1,1,1,-,-,-,-,-,-,3
250910 Mari,-,-,-,-,-,4,3,1,-,-,1,-,-,9
250915 Marizópolis,-,-,-,-,-,1,-,-,-,-,-,-,-,1
250920 Massaranduba,-,-,-,-,1,1,-,-,-,-,-,-,-,2
250933 Matinhas,-,-,-,-,-,-,1,-,-,-,-,-,-,1
250937 Mato Grosso,-,-,-,-,-,-,-,1,-,-,-,-,-,1
250939 Maturéia,-,-,-,-,-,1,-,1,-,-,-,-,-,2
250940 Mogeiro,-,-,-,-,-,2,-,3,-,-,-,-,-,5
250970 Monteiro,-,-,-,-,2,2,-,-,-,3,-,-,-,7
250980 Mulungu,-,-,-,-,-,1,1,-,-,-,-,-,-,2
250990 Natuba,-,-,-,-,-,3,2,-,1,-,-,1,-,7
251000 Nazarezinho,-,-,-,-,-,-,-,-,1,-,-,-,-,1
251010 Nova Floresta,-,-,-,-,-,2,-,-,-,-,-,-,-,2
251030 Nova Palmeira,-,-,-,-,-,-,1,-,-,-,-,-,-,1
251040 Olho d'Água,-,-,-,-,-,1,-,1,-,-,-,-,-,2
251050 Olivedos,-,-,-,-,1,-,-,-,-,-,-,-,-,1
251060 Ouro Velho,-,-,-,-,-,1,-,-,-,-,-,-,-,1
251080 Patos,-,-,-,-,4,16,6,6,1,1,2,-,-,36
251090 Paulista,-,-,-,-,-,2,1,-,-,-,-,-,-,3
251110 Pedra Lavrada,-,-,-,-,-,-,-,-,-,1,-,-,-,1
251120 Pedras de Fogo,-,-,-,-,4,6,2,1,-,-,-,-,-,13
251130 Piancó,-,-,-,-,-,1,1,1,1,-,-,-,-,4
251140 Picuí,-,-,-,-,3,1,-,-,1,-,-,1,-,6
251150 Pilar,-,-,-,-,-,1,-,-,-,-,-,-,-,1
251160 Pilões,-,-,-,-,-,1,-,-,-,-,-,-,-,1
251180 Pirpirituba,-,-,-,-,1,-,1,-,-,-,-,-,-,2
251190 Pitimbu,-,-,-,-,-,3,1,1,-,1,-,-,-,6
251200 Pocinhos,-,-,-,-,1,3,1,1,1,-,-,-,-,7
251210 Pombal,-,-,-,-,-,3,4,1,-,-,-,-,-,8
251220 Prata,-,-,-,-,-,-,1,-,-,-,-,-,-,1
251230 Princesa Isabel,-,-,-,-,-,1,-,1,-,-,-,-,-,2
251250 Queimadas,-,-,-,-,3,2,2,2,-,-,-,-,-,9
251260 Quixabá,-,-,-,-,-,-,1,-,-,-,-,-,-,1
251270 Remígio,-,-,-,-,1,-,-,-,-,1,-,-,-,2
251276 Riachão do Poço,-,-,-,-,1,-,-,1,-,-,-,-,-,2
251280 Riacho dos Cavalos,-,-,-,-,-,1,1,1,1,-,-,-,-,4
251290 Rio Tinto,-,-,-,-,1,2,-,-,2,-,-,-,-,5
251310 Salgado de São Félix,-,-,-,-,-,-,1,-,-,-,-,-,-,1
251315 Santa Cecília,-,-,-,-,-,-,1,-,-,-,-,-,-,1
251335 Santa Inês,-,-,-,-,-,-,1,-,-,-,-,-,-,1
251340 Santa Luzia,-,-,-,-,2,2,-,2,-,-,-,-,-,6
251370 Santa Rita,-,-,-,3,13,35,21,8,2,2,1,-,-,85
251350 Santana de Mangueira,-,-,-,-,-,-,-,1,-,-,-,-,-,1
251392 São Bentinho,-,-,-,-,-,1,-,-,-,-,-,-,-,1
251390 São Bento,-,-,-,-,-,2,2,3,2,-,-,-,-,9
251396 São Domingos,-,-,-,-,-,1,-,-,-,-,-,-,-,1
251398 São Francisco,-,-,-,-,-,-,1,-,-,-,-,-,-,1
251400 São João do Cariri,-,-,-,-,-,-,-,1,-,-,-,-,-,1
250070 São João do Rio do Peixe,-,-,-,-,-,1,-,1,-,-,-,-,-,2
251410 São João do Tigre,-,-,-,-,1,2,-,2,1,-,-,-,-,6
251440 São José de Espinharas,-,-,-,-,-,-,-,1,-,-,-,-,-,1
251450 São José de Piranhas,-,-,-,-,-,1,-,-,-,-,-,-,-,1
251455 São José de Princesa,-,-,-,-,-,-,1,-,-,-,-,-,-,1
251460 São José do Bonfim,-,-,-,-,-,-,1,-,1,-,-,-,-,2
251445 São José dos Ramos,-,-,-,-,2,-,-,-,-,-,-,-,-,2
251490 São Mamede,-,-,-,-,-,2,2,-,-,-,-,-,-,4
251500 São Miguel de Taipu,-,-,-,-,1,-,-,-,-,-,-,-,-,1
251510 São Sebastião de Lagoa de Roça,-,-,-,-,1,2,1,-,-,-,-,-,-,4
251540 São Vicente do Seridó,-,-,-,-,1,1,-,-,-,-,-,-,-,2
251530 Sapé,-,-,-,-,7,8,5,5,2,-,-,-,-,27
251550 Serra Branca,-,-,-,-,-,-,-,-,-,-,-,1,-,1
251580 Serra Redonda,-,-,-,-,-,1,1,-,-,-,-,-,-,2
251590 Serraria,-,-,-,-,-,1,-,-,-,-,-,-,-,1
251593 Sertãozinho,-,-,-,-,-,-,1,-,-,-,-,-,-,1
251600 Solânea,-,-,-,-,-,2,-,-,-,-,-,-,-,2
251610 Soledade,-,-,-,-,1,1,1,1,-,-,-,-,-,4
251620 Sousa,-,-,-,-,3,5,3,4,-,2,-,1,-,18
251630 Sumé,-,-,-,-,1,1,-,2,1,-,-,-,-,5
251650 Taperoá,-,-,-,-,1,-,-,-,-,-,-,-,-,1
251660 Tavares,-,-,-,1,-,-,-,1,1,-,1,-,-,4
251670 Teixeira,-,-,-,-,-,-,4,-,-,2,-,-,-,6
251690 Uiraúna,-,-,-,-,-,-,1,2,-,-,-,-,-,3
251700 Umbuzeiro,-,-,-,-,-,1,1,3,-,-,-,-,-,5
251710 Várzea,-,-,-,-,-,-,1,-,-,-,-,-,-,1
260005 Abreu e Lima,-,-,-,1,15,23,15,1,1,-,-,-,-,56
260010 Afogados da Ingazeira,-,-,-,-,1,2,2,-,1,1,-,-,-,7
260020 Afrânio,-,-,-,-,-,2,-,-,-,-,-,1,-,3
260030 Agrestina,-,-,-,-,2,6,4,1,-,1,-,-,-,14
260040 Água Preta,-,-,-,-,3,3,2,1,1,-,-,-,-,10
260050 Águas Belas,-,-,1,-,2,3,7,2,1,-,1,-,1,18
260060 Alagoinha,-,-,-,-,-,2,-,3,-,-,-,-,-,5
260070 Aliança,-,-,-,-,2,8,6,-,-,-,-,-,-,16
260080 Altinho,-,-,-,-,7,10,6,-,1,-,-,-,-,24
260090 Amaraji,-,-,-,-,2,9,6,-,-,-,-,-,1,18
260100 Angelim,-,-,-,-,1,2,-,-,1,-,-,-,-,4
260105 Araçoiaba,-,-,-,-,4,7,-,1,-,-,-,-,-,12
260110 Araripina,-,-,-,-,4,14,5,4,2,-,-,-,1,30
260120 Arcoverde,-,-,-,-,4,13,10,5,2,1,-,-,2,37
260130 Barra de Guabiraba,-,-,-,-,3,1,4,1,2,1,-,1,-,13
260140 Barreiros,-,-,-,-,3,9,11,3,1,1,-,-,1,29
260150 Belém de Maria,-,-,-,-,1,1,1,-,-,-,-,-,-,3
260160 Belém do São Francisco,-,-,-,-,-,1,1,1,-,-,-,-,1,4
260170 Belo Jardim,-,-,-,3,7,17,18,5,3,-,-,-,1,54
260180 Betânia,-,-,-,-,-,1,-,2,-,-,-,-,-,3
260190 Bezerros,-,-,-,1,10,12,11,8,2,1,-,-,-,45
260200 Bodocó,-,-,-,-,-,5,3,3,1,1,-,-,-,13
260210 Bom Conselho,-,-,-,1,1,2,2,1,-,-,1,-,1,9
260220 Bom Jardim,-,-,-,-,2,3,8,3,5,2,-,-,-,23
260230 Bonito,-,-,-,-,5,11,3,4,2,1,-,-,-,26
260240 Brejão,-,-,-,-,1,1,3,-,-,-,-,-,-,5
260250 Brejinho,-,-,-,-,-,-,1,1,-,-,-,-,-,2
260260 Brejo da Madre de Deus,-,-,-,-,8,10,5,2,-,1,-,-,-,26
260270 Buenos Aires,-,-,-,-,2,1,1,2,2,-,-,-,-,8
260280 Buíque,-,-,-,-,2,4,9,2,1,-,-,-,-,18
260290 Cabo de Santo Agostinho,-,-,-,2,36,95,41,19,3,4,1,-,2,203
260300 Cabrobó,-,-,-,-,2,3,3,2,-,-,-,-,-,10
260310 Cachoeirinha,-,-,-,-,4,6,4,4,2,1,-,-,-,21
260320 Caetés,-,-,-,-,1,3,7,1,1,-,-,-,-,13
260330 Calçado,-,-,-,-,-,-,-,-,1,-,-,-,-,1
260345 Camaragibe,-,-,-,-,15,37,16,7,3,-,-,-,-,78
260350 Camocim de São Félix,-,-,-,-,3,5,1,-,1,-,-,-,-,10
260360 Camutanga,-,-,-,-,1,-,1,-,-,-,-,-,-,2
260370 Canhotinho,-,-,-,-,2,5,1,2,1,1,1,-,-,13
260380 Capoeiras,-,-,-,-,4,3,2,3,-,-,-,-,-,12
260390 Carnaíba,-,-,-,-,-,1,1,1,1,-,-,-,-,4
260392 Carnaubeira da Penha,-,-,-,-,-,2,1,-,-,-,-,-,-,3
260400 Carpina,-,-,-,-,8,18,5,4,1,-,-,-,1,37
260410 Caruaru,-,-,-,2,48,121,65,28,10,7,1,1,5,288
260415 Casinhas,-,-,-,-,3,2,3,4,-,1,-,-,-,13
260420 Catende,-,-,-,-,3,14,5,4,1,-,-,-,-,27
260430 Cedro,-,-,-,-,-,-,2,1,1,-,-,-,-,4
260440 Chã de Alegria,-,-,-,-,1,2,2,3,-,-,-,-,-,8
260450 Chã Grande,-,-,-,-,-,4,3,1,-,-,-,-,-,8
260460 Condado,-,-,-,-,2,9,4,-,-,-,-,-,1,16
260470 Correntes,-,-,-,-,-,1,-,-,-,1,1,-,-,3
260480 Cortês,-,-,-,-,1,2,1,-,-,-,-,-,-,4
260500 Cupira,-,-,-,5,10,18,3,3,1,-,-,-,-,40
260510 Custódia,-,-,-,-,3,2,-,1,-,-,1,-,-,7
260515 Dormentes,-,-,-,-,-,3,4,-,-,-,-,-,-,7
260520 Escada,-,-,-,1,10,19,6,6,3,-,1,-,-,46
260530 Exu,-,-,-,-,1,4,3,3,-,1,-,-,-,12
260540 Feira Nova,-,-,-,-,3,3,1,-,1,-,-,1,-,9
260550 Ferreiros,-,-,-,-,-,1,2,1,-,-,-,-,-,4
260560 Flores,-,-,-,-,-,-,-,2,-,-,-,-,-,2
260570 Floresta,-,-,-,-,-,6,7,1,3,-,-,-,-,17
260580 Frei Miguelinho,-,-,-,-,-,3,1,-,-,-,-,-,-,4
260590 Gameleira,-,-,-,1,5,5,11,2,-,1,-,-,1,26
260600 Garanhuns,-,-,1,1,12,23,17,10,3,1,-,-,1,69
260610 Glória do Goitá,-,-,-,-,3,10,3,1,-,-,-,-,-,17
260620 Goiana,-,-,-,1,5,15,8,4,3,1,-,-,-,37
260630 Granito,-,-,-,-,-,-,1,-,-,-,-,-,-,1
260640 Gravatá,-,-,-,-,16,31,13,7,3,-,1,-,-,71
260650 Iati,-,-,-,-,-,4,3,-,-,-,-,-,-,7
260660 Ibimirim,-,-,-,-,2,3,5,2,1,-,1,-,-,14
260670 Ibirajuba,-,-,-,-,-,1,-,-,-,-,-,-,-,1
260680 Igarassu,-,-,-,-,12,49,12,5,3,1,1,-,1,84
260690 Iguaracy,-,-,-,-,-,1,-,1,-,-,-,-,-,2
260760 Ilha de Itamaracá,-,-,-,-,2,11,3,3,1,1,-,-,-,21
260700 Inajá,-,-,-,-,2,2,3,-,1,-,-,-,-,8
260720 Ipojuca,-,1,-,-,31,47,21,14,4,1,-,-,2,121
260730 Ipubi,-,-,-,-,1,2,1,3,-,1,-,-,1,9
260740 Itacuruba,-,-,-,-,-,-,2,-,-,-,-,-,-,2
260750 Itaíba,-,-,-,-,-,5,1,2,1,-,-,-,-,9
260765 Itambé,-,-,-,-,6,12,6,4,-,-,-,-,-,28
260770 Itapetim,-,-,-,-,4,-,1,-,1,1,-,-,-,7
260775 Itapissuma,-,-,-,-,2,8,3,3,-,-,-,-,-,16
260780 Itaquitinga,-,-,-,-,2,2,-,-,-,-,1,-,-,5
260790 Jaboatão dos Guararapes,-,-,-,3,67,174,65,26,14,5,2,-,4,360
260795 Jaqueira,-,-,-,-,5,-,1,1,1,1,-,-,-,9
260800 Jataúba,-,-,-,-,2,2,5,1,1,-,-,-,-,11
260805 Jatobá,-,-,-,-,-,-,-,-,-,-,-,-,1,1
260810 João Alfredo,-,-,-,-,-,4,7,1,-,-,-,-,-,12
260820 Joaquim Nabuco,-,-,-,-,1,2,1,-,1,-,1,-,-,6
260825 Jucati,-,-,-,-,1,2,-,-,1,-,-,-,-,4
260830 Jupi,-,-,-,-,-,2,2,3,1,-,-,-,-,8
260840 Jurema,-,-,-,-,-,3,3,2,-,-,-,-,-,8
260850 Lagoa de Itaenga,-,-,-,-,3,8,1,3,-,-,-,-,-,15
260845 Lagoa do Carro,-,-,-,-,4,4,4,5,-,1,-,-,1,19
260860 Lagoa do Ouro,-,-,-,-,-,1,1,-,-,-,-,-,-,2
260870 Lagoa dos Gatos,-,-,-,-,-,9,3,1,1,-,-,-,-,14
260875 Lagoa Grande,-,-,-,-,1,4,6,2,-,-,-,-,-,13
260880 Lajedo,-,-,-,-,13,9,5,2,-,-,-,1,-,30
260890 Limoeiro,-,-,-,-,3,9,5,3,3,1,-,1,-,25
260900 Macaparana,-,-,-,-,4,2,1,2,1,-,-,-,-,10
260910 Machados,-,-,-,-,2,4,1,1,1,1,-,-,-,10
260915 Manari,-,-,-,-,-,1,-,1,1,-,1,-,-,4
260920 Maraial,-,-,-,-,4,3,2,-,-,-,-,-,-,9
260930 Mirandiba,-,-,-,-,-,2,-,-,-,-,1,-,-,3
261430 Moreilândia,-,-,-,-,-,2,-,-,-,-,-,-,-,2
260940 Moreno,-,-,-,-,9,19,11,7,3,2,-,-,1,52
260950 Nazaré da Mata,-,-,1,2,3,3,6,2,1,-,-,-,-,18
260960 Olinda,-,-,-,1,30,71,29,9,5,-,-,1,-,146
260970 Orobó,-,-,-,-,-,4,-,1,-,-,-,-,-,5
260980 Orocó,-,-,-,-,-,4,2,3,2,-,-,-,-,11
260990 Ouricuri,-,-,-,-,1,5,10,1,1,-,1,-,-,19
261000 Palmares,-,-,-,1,2,13,12,8,2,-,-,-,-,38
261010 Palmeirina,-,-,-,-,1,1,-,-,-,-,-,-,-,2
261020 Panelas,-,-,-,-,5,5,4,2,1,-,-,-,-,17
261030 Paranatama,-,-,-,-,1,-,2,1,1,-,-,-,-,5
261040 Parnamirim,-,-,-,-,1,6,2,1,1,-,-,-,-,11
261050 Passira,-,-,-,-,1,1,2,-,1,1,-,-,-,6
261060 Paudalho,-,-,-,-,9,18,19,3,2,-,-,-,2,53
261070 Paulista,-,-,-,3,58,90,48,14,8,2,1,-,3,227
261080 Pedra,-,-,-,-,1,1,4,1,1,-,-,-,-,8
261090 Pesqueira,-,-,-,-,3,13,7,1,1,-,-,1,-,26
261100 Petrolândia,-,-,-,-,1,1,4,-,-,-,-,-,-,6
261110 Petrolina,-,1,-,1,18,62,39,25,7,2,-,-,2,157
261120 Poção,-,-,-,-,-,2,2,2,1,-,-,-,-,7
261130 Pombos,-,-,-,-,4,7,5,-,1,-,-,-,1,18
261140 Primavera,-,-,-,-,2,3,3,2,-,-,-,-,-,10
261150 Quipapá,-,-,-,-,1,1,1,1,-,-,-,-,-,4
261153 Quixaba,-,-,-,-,1,-,-,-,-,-,-,-,-,1
261160 Recife,1,2,1,9,182,459,256,70,40,21,6,-,10,1.057
261170 Riacho das Almas,-,-,-,-,-,-,1,-,-,-,-,-,-,1
261180 Ribeirão,-,-,-,1,6,9,6,1,2,1,-,-,-,26
261190 Rio Formoso,-,-,-,1,7,7,2,1,1,1,-,-,-,20
261200 Sairé,-,-,-,-,1,1,-,-,-,-,-,-,-,2
261220 Salgueiro,-,-,-,-,-,12,8,6,-,-,-,-,-,26
261230 Saloá,-,-,-,-,-,1,-,-,1,-,-,-,-,2
261240 Sanharó,-,-,-,-,3,3,2,1,1,-,-,-,-,10
261245 Santa Cruz,-,-,-,-,-,1,2,-,-,-,-,-,-,3
261247 Santa Cruz da Baixa Verde,-,-,-,-,-,2,2,-,2,-,-,-,-,6
261250 Santa Cruz do Capibaribe,-,-,-,1,10,27,10,6,2,-,-,-,1,57
261255 Santa Filomena,-,-,-,-,-,1,-,1,-,-,-,-,1,3
261260 Santa Maria da Boa Vista,-,-,-,-,2,7,8,2,2,1,-,-,-,22
261270 Santa Maria do Cambucá,-,-,-,-,-,8,3,2,-,1,-,-,-,14
261280 Santa Terezinha,-,-,-,-,-,-,-,2,-,1,-,-,-,3
261290 São Benedito do Sul,-,-,-,-,-,5,2,2,1,-,-,-,-,10
261300 São Bento do Una,-,-,-,1,3,8,7,5,2,-,-,-,-,26
261310 São Caitano,-,-,-,-,1,11,6,3,1,-,-,-,-,22
261320 São João,-,-,-,-,3,3,1,3,1,1,1,-,-,13
261330 São Joaquim do Monte,-,-,-,-,4,14,4,-,1,-,-,-,-,23
261340 São José da Coroa Grande,-,-,-,-,6,16,10,4,-,-,-,-,3,39
261350 São José do Belmonte,-,-,-,-,1,3,4,1,1,-,-,-,-,10
261360 São José do Egito,-,-,-,-,1,2,1,1,-,-,-,-,-,5
261370 São Lourenço da Mata,-,-,-,1,17,26,18,8,2,1,-,-,2,75
261380 São Vicente Ferrer,-,-,-,-,4,4,1,2,2,1,-,-,1,15
261390 Serra Talhada,-,-,-,-,4,13,12,5,2,1,-,-,3,40
261400 Serrita,-,-,-,-,-,-,-,1,-,-,-,-,1,2
261410 Sertânia,-,-,-,-,2,3,3,1,-,-,-,-,-,9
261420 Sirinhaém,-,-,-,1,4,16,4,6,6,-,1,-,-,38
261440 Solidão,-,-,-,-,-,-,-,1,-,-,-,-,-,1
261450 Surubim,-,-,-,-,7,9,4,2,1,-,-,-,-,23
261460 Tabira,-,-,-,-,2,1,-,-,-,-,1,-,-,4
261470 Tacaimbó,-,-,-,-,1,3,3,1,-,1,-,-,-,9
261480 Tacaratu,-,-,-,-,-,2,-,1,1,-,1,-,-,5
261485 Tamandaré,-,-,-,1,3,7,1,-,1,1,-,-,-,14
261500 Taquaritinga do Norte,-,-,-,-,3,14,-,3,3,1,-,-,1,25
261510 Terezinha,-,-,-,-,-,1,-,1,-,-,-,-,-,2
261520 Terra Nova,-,-,-,1,-,-,-,1,-,-,-,1,-,3
261530 Timbaúba,-,-,-,-,10,19,10,5,1,-,-,-,-,45
261540 Toritama,-,-,1,-,13,14,7,3,-,1,-,-,1,40
261550 Tracunhaém,-,-,-,-,3,4,3,-,1,-,-,-,-,11
261560 Trindade,-,-,-,1,1,9,6,2,2,-,1,-,-,22
261570 Triunfo,-,-,-,-,-,-,-,1,-,-,-,-,-,1
261580 Tupanatinga,-,-,-,-,2,4,2,3,1,1,1,-,-,14
261590 Tuparetama,-,-,-,-,-,-,1,1,-,-,-,-,-,2
261600 Venturosa,-,-,-,1,-,1,5,4,1,-,-,-,-,12
261610 Verdejante,-,-,-,-,-,-,3,-,-,-,-,-,-,3
261618 Vertente do Lério,-,-,-,-,1,1,3,-,-,1,-,-,-,6
261620 Vertentes,-,-,-,-,2,13,2,3,3,1,-,-,-,24
261630 Vicência,-,-,-,-,5,13,6,3,-,-,-,-,-,27
261640 Vitória de Santo Antão,-,-,-,-,23,48,22,12,7,1,1,-,1,115
261650 Xexéu,-,-,-,-,3,4,2,1,-,-,-,-,1,11
260000 Município ignorado - PE,-,-,-,-,1,-,-,-,-,-,-,-,-,1
270010 Água Branca,-,-,-,-,1,1,1,-,-,-,-,-,-,3
270020 Anadia,-,-,-,-,-,2,5,-,-,-,-,-,-,7
270030 Arapiraca,-,-,-,3,40,75,38,13,10,9,4,-,-,192
270040 Atalaia,-,-,-,-,3,9,7,2,2,-,-,-,-,23
270050 Barra de Santo Antônio,-,-,-,-,5,4,3,-,-,-,-,-,-,12
270060 Barra de São Miguel,-,-,-,-,1,5,2,-,-,-,-,-,-,8
270070 Batalha,-,-,-,-,1,-,5,-,-,1,-,-,-,7
270080 Belém,-,-,-,-,-,2,1,1,-,-,-,-,-,4
270100 Boca da Mata,-,-,-,-,1,2,2,1,1,2,-,-,-,9
270110 Branquinha,-,-,-,-,-,2,-,1,1,-,-,-,-,4
270120 Cacimbinhas,-,-,-,-,-,1,-,2,-,-,-,-,-,3
270130 Cajueiro,-,-,-,1,1,3,4,-,2,-,-,-,-,11
270135 Campestre,-,-,-,-,3,1,-,1,-,-,-,-,-,5
270140 Campo Alegre,-,-,-,-,3,2,1,3,1,-,-,-,-,10
270150 Campo Grande,-,-,-,-,2,4,-,2,-,-,-,-,-,8
270160 Canapi,-,-,-,-,-,1,1,-,1,-,-,-,-,3
270170 Capela,-,-,-,-,4,2,-,-,-,-,-,-,-,6
270190 Chã Preta,-,-,-,-,-,2,-,-,-,-,1,-,-,3
270200 Coité do Nóia,-,-,-,-,-,1,-,-,-,-,-,-,-,1
270210 Colônia Leopoldina,-,-,-,-,2,10,4,1,-,-,1,-,-,18
270220 Coqueiro Seco,-,-,-,-,1,2,-,1,-,-,-,-,-,4
270230 Coruripe,-,-,-,-,6,9,16,6,4,2,-,-,-,43
270235 Craíbas,-,-,-,-,1,2,2,1,1,-,-,-,-,7
270240 Delmiro Gouveia,-,-,-,-,2,5,3,3,3,-,-,-,-,16
270250 Dois Riachos,-,-,-,-,-,-,1,-,1,-,-,-,-,2
270255 Estrela de Alagoas,-,-,-,-,1,1,1,2,1,-,-,-,-,6
270260 Feira Grande,-,-,-,-,4,3,-,1,-,1,-,-,-,9
270270 Feliz Deserto,-,-,-,-,1,2,-,-,-,-,-,-,-,3
270280 Flexeiras,-,-,-,-,2,6,1,-,-,-,-,-,-,9
270290 Girau do Ponciano,-,-,-,-,1,4,4,1,1,-,-,-,-,11
270300 Ibateguara,-,-,-,-,1,-,-,3,-,1,-,-,-,5
270310 Igaci,-,-,-,-,-,-,1,2,-,-,-,-,-,3
270320 Igreja Nova,-,-,-,-,-,2,-,3,-,-,-,-,-,5
270330 Inhapi,-,-,-,-,2,-,3,2,1,-,-,-,-,8
270340 Jacaré dos Homens,-,-,-,2,1,1,-,-,-,1,-,-,-,5
270350 Jacuípe,-,-,-,-,-,3,1,-,-,-,-,-,-,4
270360 Japaratinga,-,-,-,-,-,-,-,-,-,1,-,-,-,1
270370 Jaramataia,-,-,-,-,-,-,-,-,1,-,-,-,-,1
270375 Jequiá da Praia,-,-,-,-,1,2,1,-,-,-,-,-,-,4
270380 Joaquim Gomes,-,-,-,-,5,4,2,3,1,-,-,1,-,16
270390 Jundiá,-,-,-,-,-,2,1,-,-,-,-,-,-,3
270400 Junqueiro,-,-,-,-,-,4,2,-,-,-,-,-,-,6
